country,state,city,ibgeID,deaths,totalCases,deaths_per_100k_inhabitants,totalCases_per_100k_inhabitants,deaths_by_totalCases
Brazil,MG,Abadia dos Dourados,3100104,0,1,0.00000,14.30820,0.00000
Brazil,PA,Abaetetuba,1500107,3,71,1.90237,45.02277,0.04225
Brazil,MG,Abaeté,3100203,0,2,0.00000,8.60696,0.00000
Brazil,CE,Abaiara,2300101,0,1,0.00000,8.52006,0.00000
Brazil,PR,Abatiá,4100103,0,1,0.00000,13.41022,0.00000
Brazil,BA,Abaíra,2900108,0,4,0.00000,45.77183,0.00000
Brazil,PA,Abel Figueiredo,1500131,1,2,13.45171,26.90342,0.50000
Brazil,PE,Abreu e Lima,2600054,5,129,5.00050,129.01290,0.03876
Brazil,TO,Abreulândia,1700251,0,2,0.00000,77.54944,0.00000
Brazil,BA,Acajutiba,2900306,0,1,0.00000,6.59674,0.00000
Brazil,CE,Acarape,2300150,1,9,6.69837,60.28535,0.11111
Brazil,CE,Acaraú,2300200,1,122,1.59640,194.76062,0.00820
Brazil,RN,Acari,2400109,0,2,0.00000,17.95977,0.00000
Brazil,PA,Acará,1500206,1,4,1.79885,7.19541,0.25000
Brazil,CE,Acopiara,2300309,1,8,1.84264,14.74111,0.12500
Brazil,MT,Acorizal,5100102,0,1,0.00000,18.52195,0.00000
Brazil,AC,Acrelândia,1200013,1,28,6.55480,183.53435,0.03571
Brazil,SP,Adamantina,3500105,0,11,0.00000,31.36763,0.00000
Brazil,SP,Adolfo,3500204,0,1,0.00000,28.07412,0.00000
Brazil,BA,Adustina,2900355,1,1,5.86854,5.86854,1.00000
Brazil,PE,Afogados da Ingazeira,2600104,0,3,0.00000,8.05175,0.00000
Brazil,RN,Afonso Bezerra,2400307,0,1,0.00000,9.06208,0.00000
Brazil,ES,Afonso Cláudio,3200102,3,22,9.80841,71.92833,0.13636
Brazil,PE,Afrânio,2600203,0,1,0.00000,5.09295,0.00000
Brazil,PA,Afuá,1500305,0,4,0.00000,10.19940,0.00000
Brazil,PE,Agrestina,2600302,2,3,8.03697,12.05546,0.66667
Brazil,SP,Aguaí,3500303,3,15,8.26332,41.31662,0.20000
Brazil,PR,Agudos do Sul,4100301,0,1,0.00000,10.67122,0.00000
Brazil,SP,Agudos,3500709,1,20,2.68716,53.74321,0.05000
Brazil,TO,Aguiarnópolis,1700301,1,2,14.85222,29.70444,0.50000
